  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  1.104069259552558973E-003  1.000000000000000000E+000  1.734723475976807094E-018  8.673617379884035472E-018  0.000000000000000000E+000  9.685078409804352972E-001  1.969719575231058672E-001  7.715358834573313729E-001
  1.127009409766402881E-003  1.000000000000000000E+000  1.387778780781445676E-017 -1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804369626E-001  1.978547260160357091E-001  7.706531149644045842E-001
  1.150116680427642037E-003  1.000000000000000000E+000 -1.821459649775647449E-017  5.724587470723463412E-017  0.000000000000000000E+000  9.685078409804375177E-001  1.987184943590227792E-001  7.697893466214187352E-001
  1.173539641911367512E-003  9.999999999999998890E-001  3.556183125752454544E-017 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804372956E-001  1.995693885571658555E-001  7.689384524232776297E-001
  1.197158555813814277E-003  9.999999999999995559E-001  1.908195823574487804E-017  6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804287469E-001  2.004252220700888931E-001  7.680826189103516777E-001
  1.221103779346195727E-003  9.999999999999996669E-001  7.806255641895631925E-018 -1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804328547E-001  2.012545811029834431E-001  7.672532598774581825E-001
  1.245277937950925841E-003  9.999999999999997780E-001  1.994931997373328159E-017  3.122502256758252770E-017  0.000000000000000000E+000  9.685078409804328547E-001  2.020405398844298261E-001  7.664673010960130206E-001
  1.269780016939434314E-003  1.000000000000000444E+000  1.301042606982605321E-017 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804328547E-001  2.027959191975262920E-001  7.657119217829153612E-001
  1.294213433698796064E-003  1.000000000000000000E+000 -1.561251128379126385E-017  1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804335209E-001  2.035039451452612114E-001  7.650038958351819129E-001
  1.317501740056111013E-003  9.999999999999992228E-001  1.734723475976807094E-018 -1.734723475976807094E-018  0.000000000000000000E+000  9.685078409804348532E-001  2.040669844540526634E-001  7.644408565263918209E-001
